,timestamp,consumption,flex_up,flexibility_down
0,2021-11-21 00:00:00,4.3968,5.401156701999999,3.3931694150000005
1,2021-11-21 00:15:00,4.239600000000001,5.241781273,3.2377822724999996
2,2021-11-21 00:30:00,3.7794000000000008,4.780153876000001,2.77877177
3,2021-11-21 00:45:00,3.485399999999999,4.486868305000001,2.484176412499999
4,2021-11-21 01:00:00,3.3432000000000013,4.344909369999998,2.341775525
5,2021-11-21 01:15:00,3.7019999999999986,4.704753985,2.699705012499999
6,2021-11-21 01:30:00,4.165799999999999,5.168101075,3.1638824375
7,2021-11-21 01:45:00,3.8076000000000003,4.8095066049999975,2.8060111624999995
8,2021-11-21 02:00:00,4.282200000000001,5.29688305,3.269964125000001
9,2021-11-21 02:15:00,4.7604,5.789032678,3.736539434999999
10,2021-11-21 02:30:00,4.3104000000000005,5.326174417,3.2972546525000004
11,2021-11-21 02:45:00,4.2984,5.320006729,3.2803943925000003
12,2021-11-21 03:00:00,4.9692,5.9855588169999985,3.9555676524999996
13,2021-11-21 03:15:00,5.502,6.519175516,4.487687070000001
14,2021-11-21 03:30:00,5.641199999999999,6.654151764999999,4.630406862499999
15,2021-11-21 03:45:00,5.936400000000002,6.963305776,4.913978520000001
16,2021-11-21 04:00:00,5.1588,6.165392032,4.153306640000001
17,2021-11-21 04:15:00,6.034199999999999,7.055128824999999,5.0167593125000005
18,2021-11-21 04:30:00,6.216600000000001,7.231281589000001,5.204365342500001
19,2021-11-21 04:45:00,6.184799999999999,7.200553962999999,5.171671697500001
20,2021-11-21 05:00:00,6.715199999999997,7.722770901999998,5.708890915
21,2021-11-21 05:15:00,7.724400000000002,8.731490232999999,6.718491472499998
22,2021-11-21 05:30:00,8.911200000000004,9.936633088000002,7.890005760000002
23,2021-11-21 05:45:00,9.643799999999999,10.660684776999998,8.629729352499998
24,2021-11-21 06:00:00,10.013399999999999,11.036359615000002,8.9942669875
25,2021-11-21 06:15:00,10.4004,11.421000099999999,9.383233249999998
26,2021-11-21 06:30:00,11.164199999999997,12.188027449000002,10.144343792499999
27,2021-11-21 06:45:00,11.316,12.350812708,10.286989409999999
28,2021-11-21 07:00:00,12.062399999999998,13.096781713,11.033748572500002
29,2021-11-21 07:15:00,11.982,13.011094353999999,10.957754704999997
30,2021-11-21 07:30:00,12.3852,13.399168621000001,11.373559482500001
31,2021-11-21 07:45:00,12.025800000000002,13.037568354999998,11.0159930375
32,2021-11-21 08:00:00,13.123199999999999,14.142344944,12.107245880000002
33,2021-11-21 08:15:00,13.730999999999996,14.783807845000004,12.6869934625
34,2021-11-21 08:30:00,13.6626,14.703413035000002,12.628589137500004
35,2021-11-21 08:45:00,13.782000000000004,14.822902156,12.747914869999999
36,2021-11-21 09:00:00,14.970599999999997,15.99803758,13.94773535
37,2021-11-21 09:15:00,14.357400000000005,15.402321366999997,13.319965527499997
38,2021-11-21 09:30:00,15.501599999999998,16.520644134999998,14.485729887500002
39,2021-11-21 09:45:00,16.1628,17.192757805,15.1378351625
40,2021-11-21 10:00:00,17.5692,18.610473250000005,16.534805625
41,2021-11-21 10:15:00,18.941399999999994,20.01335425,17.881438125
42,2021-11-21 10:30:00,18.3612,19.420250698000004,17.311991085000002
43,2021-11-21 10:45:00,17.050800000000002,18.080730045999996,16.025858295
44,2021-11-21 11:00:00,17.547599999999996,18.588296155,16.513686537499996
45,2021-11-21 11:15:00,17.184599999999996,18.214122427000003,16.159997977500005
46,2021-11-21 11:30:00,17.277600000000003,18.277600000000003,16.277600000000003
47,2021-11-21 11:45:00,15.793800000000003,16.802018124999996,14.786951562500002
48,2021-11-21 12:00:00,16.054200000000005,17.070197950000004,15.040868375000002
49,2021-11-21 12:15:00,15.313199999999997,16.361478745000003,14.272967712500002
50,2021-11-21 12:30:00,15.110999999999997,16.169477986,14.062268345000001
51,2021-11-21 12:45:00,13.025399999999998,14.06074159,11.995948675
52,2021-11-21 13:00:00,12.744,13.774736517999997,11.718386234999999
53,2021-11-21 13:15:00,12.122399999999999,13.152256996,11.097519169999996
54,2021-11-21 13:30:00,13.333799999999998,14.404570839999998,12.274824299999999
55,2021-11-21 13:45:00,12.940200000000003,14.006377456,11.885052120000005
56,2021-11-21 14:00:00,13.514999999999997,14.572969558,12.466692035
57,2021-11-21 14:15:00,13.204200000000004,14.213743251999999,12.19624729
58,2021-11-21 14:30:00,12.490200000000005,13.525160269,11.461066442500002
59,2021-11-21 14:45:00,12.6036,13.664909404000001,11.552508829999999
60,2021-11-21 15:00:00,12.922200000000002,13.975980870999997,11.8773826075
61,2021-11-21 15:15:00,12.572399999999996,13.604143147,11.5459473775
62,2021-11-21 15:30:00,13.347000000000001,14.399213217999998,12.303488985
63,2021-11-21 15:45:00,13.440599999999996,14.509116516999999,12.3835029025
64,2021-11-21 16:00:00,12.8784,13.916890045000002,11.846324962500002
65,2021-11-21 16:15:00,12.1932,13.216651971999998,11.17365669
66,2021-11-21 16:30:00,12.542399999999995,13.567535044,11.52145413
67,2021-11-21 16:45:00,13.312199999999997,14.325169297,12.3013922525
68,2021-11-21 17:00:00,13.535400000000003,14.553599677000001,12.520233602499998
69,2021-11-21 17:15:00,13.3698,14.388383919999999,12.354313399999999
70,2021-11-21 17:30:00,12.853200000000005,13.868598940000002,11.84036755
71,2021-11-21 17:45:00,13.706999999999995,14.730782158,12.687181535000002
72,2021-11-21 18:00:00,13.888200000000005,14.914642639000002,12.8661644675
73,2021-11-21 18:15:00,12.540600000000003,13.55047636,11.532369699999999
